id,operator_id,geography_id,name,is_active
1,12,1,Kestrel Gaming UK,true
2,1,1,Luckbridge UK,true
3,9,1,Stakewell UK,true
4,8,1,Maple & Main UK,true
5,3,1,Goldcrest Bet UK,true
6,10,1,Orchid Bay UK,true
7,6,1,Brightmoor UK,true
8,11,1,Redstone Play UK,true
9,4,1,Northwind Casino UK,true
10,7,1,Cobalt Reels UK,false
11,3,2,Goldcrest Bet DE,true
12,10,2,Orchid Bay DE,true
13,7,2,Cobalt Reels DE,true
14,6,2,Brightmoor DE,true
15,12,2,Kestrel Gaming DE,true
16,9,2,Stakewell DE,true
17,4,2,Northwind Casino DE,true
18,1,2,Luckbridge DE,false
19,7,3,Cobalt Reels ES,true
20,11,3,Redstone Play ES,true
21,3,3,Goldcrest Bet ES,true
22,8,3,Maple & Main ES,true
23,6,3,Brightmoor ES,true
24,1,3,Luckbridge ES,true
25,2,3,Spinhaus ES,true
26,12,3,Kestrel Gaming ES,true
27,10,4,Orchid Bay NJ,true
28,4,4,Northwind Casino NJ,true
29,3,4,Goldcrest Bet NJ,true
30,1,4,Luckbridge NJ,true
31,11,4,Redstone Play NJ,true
32,2,4,Spinhaus NJ,false
33,4,5,Northwind Casino PA,true
34,11,5,Redstone Play PA,true
35,2,5,Spinhaus PA,true
36,7,5,Cobalt Reels PA,true
37,5,5,Vellora PA,true
38,7,6,Cobalt Reels ON,true
39,4,6,Northwind Casino ON,true
40,3,6,Goldcrest Bet ON,true
41,12,6,Kestrel Gaming ON,true
42,8,6,Maple & Main ON,true
