id,run_id,game_id,section_name,position_in_section,overall_position
1,1,296,Popular,1,1
2,1,360,Popular,2,2
3,1,337,Popular,3,3
4,1,73,Popular,4,4
5,1,64,Popular,5,5
6,1,320,Popular,6,
7,1,216,Popular,7,
8,1,343,Popular,8,
9,1,308,Popular,9,
10,1,295,Popular,10,
11,1,145,Popular,11,
12,1,344,Popular,12,
13,1,285,Popular,13,
14,1,235,Popular,14,
15,1,162,Popular,15,
16,1,270,Popular,16,
17,1,386,Popular,17,
18,1,40,Popular,18,
19,1,264,Popular,19,
20,1,115,New Games,1,6
21,1,277,New Games,2,7
22,1,254,New Games,3,8
23,1,343,New Games,4,9
24,1,320,New Games,5,10
25,1,305,New Games,6,
26,1,113,New Games,7,
27,1,253,New Games,8,
28,1,382,New Games,9,
29,1,395,New Games,10,
30,1,32,New Games,11,
31,1,308,New Games,12,
32,1,354,New Games,13,
33,1,321,New Games,14,
34,1,200,New Games,15,
35,1,360,Slots,1,11
36,1,122,Slots,2,12
37,1,217,Slots,3,13
38,1,253,Slots,4,14
39,1,37,Slots,5,15
40,1,1,Slots,6,
41,1,177,Slots,7,
42,1,386,Slots,8,
43,1,40,Slots,9,
44,1,86,Slots,10,
45,1,130,Slots,11,
46,1,35,Slots,12,
47,1,283,Slots,13,
48,1,3,Slots,14,
49,1,314,Slots,15,
50,1,189,Slots,16,
51,1,49,Slots,17,
52,1,369,Slots,18,
53,1,134,Slots,19,
54,1,329,Slots,20,
55,1,264,Slots,21,
56,1,52,Slots,22,
57,1,132,Slots,23,
58,1,272,Slots,24,
59,1,388,Slots,25,
60,1,8,Slots,26,
61,1,115,Slots,27,
62,1,399,Slots,28,
63,1,333,Slots,29,
64,1,7,Slots,30,
65,1,196,Slots,31,
66,1,14,Slots,32,
67,1,108,Live Casino,1,16
68,1,407,Live Casino,2,17
69,1,61,Live Casino,3,18
70,1,402,Live Casino,4,19
71,1,186,Live Casino,5,20
72,1,403,Live Casino,6,
73,1,109,Live Casino,7,
74,1,300,Live Casino,8,
75,1,329,Jackpots,1,21
76,1,174,Jackpots,2,22
77,1,154,Jackpots,3,23
78,1,325,Jackpots,4,24
79,1,190,Jackpots,5,25
80,1,236,Jackpots,6,
81,1,355,Jackpots,7,
82,1,82,Jackpots,8,
83,1,86,Jackpots,9,
84,1,294,Jackpots,10,
85,1,92,Jackpots,11,
86,2,261,Popular,1,1
87,2,324,Popular,2,2
88,2,52,Popular,3,3
89,2,132,Popular,4,4
90,2,375,Popular,5,5
91,2,90,Popular,6,
92,2,145,Popular,7,
93,2,18,Popular,8,
94,2,97,Popular,9,
95,2,103,Popular,10,
96,2,281,Popular,11,
97,2,273,Popular,12,
98,2,201,Popular,13,
99,2,386,Popular,14,
100,2,139,Popular,15,
101,2,49,Popular,16,
102,2,290,Popular,17,
103,2,122,Popular,18,
104,2,244,Popular,19,
105,2,213,Popular,20,
106,2,378,Popular,21,
107,2,19,New Games,1,6
108,2,180,New Games,2,7
109,2,321,New Games,3,8
110,2,305,New Games,4,9
111,2,30,New Games,5,10
112,2,39,New Games,6,
113,2,354,New Games,7,
114,2,267,New Games,8,
115,2,277,New Games,9,
116,2,118,New Games,10,
117,2,350,New Games,11,
118,2,60,New Games,12,
119,2,343,New Games,13,
120,2,308,New Games,14,
121,2,36,New Games,15,
122,2,276,New Games,16,
123,2,16,Slots,1,11
124,2,361,Slots,2,12
125,2,70,Slots,3,13
126,2,280,Slots,4,14
127,2,123,Slots,5,15
128,2,192,Slots,6,
129,2,253,Slots,7,
130,2,101,Slots,8,
131,2,34,Slots,9,
132,2,12,Slots,10,
133,2,267,Slots,11,
134,2,257,Slots,12,
135,2,271,Slots,13,
136,2,327,Slots,14,
137,2,67,Slots,15,
138,2,43,Slots,16,
139,2,132,Slots,17,
140,2,386,Slots,18,
141,2,56,Slots,19,
142,2,201,Slots,20,
143,2,24,Slots,21,
144,2,344,Slots,22,
145,2,19,Slots,23,
146,2,295,Slots,24,
147,2,205,Slots,25,
148,2,165,Slots,26,
149,2,129,Slots,27,
150,2,375,Slots,28,
151,2,218,Live Casino,1,16
152,2,404,Live Casino,2,17
153,2,108,Live Casino,3,18
154,2,109,Live Casino,4,19
155,2,61,Live Casino,5,20
156,2,405,Live Casino,6,
157,2,299,Jackpots,1,21
158,2,97,Jackpots,2,22
159,2,151,Jackpots,3,23
160,2,336,Jackpots,4,24
161,2,253,Jackpots,5,25
162,2,62,Jackpots,6,
163,2,19,Jackpots,7,
164,2,30,Jackpots,8,
165,2,408,Jackpots,9,
166,2,120,Jackpots,10,
167,3,308,Popular,1,1
168,3,240,Popular,2,2
169,3,378,Popular,3,3
170,3,391,Popular,4,4
171,3,78,Popular,5,5
