id,name,provider_id,game_type,release_date
1,Royal Dragon Hold & Win,8,slots,2019-03-11
2,Frozen Tigers Xmas,16,slots,2020-10-14
3,Royal Safari,1,slots,2022-02-16
4,Blazing Pirates,11,slots,2023-10-03
5,Emerald Safari,2,slots,2022-05-03
6,Thunder Buffalo Megaways,1,slots,2020-08-13
7,Mystic Buffalo Hold & Win,1,slots,2021-05-06
8,Wild Tigers Deluxe,11,slots,2020-11-14
9,Midnight Gems 2,1,slots,2022-01-30
10,Ancient Wolves,16,slots,2020-04-18
11,Mystic Pearls Hold & Win,6,slots,2019-08-07
12,Savage Vikings Megaways,1,slots,2025-03-04
13,Crimson Buffalo,8,slots,2022-06-21
14,Lucky Vikings,1,slots,2023-11-14
15,Hidden Vikings 2,8,slots,2026-07-19
16,Neon Buffalo Megaways,2,slots,2019-01-02
17,Lucky Treasure Megaways,1,slots,2019-02-28
18,Emerald Lotus,3,slots,2022-07-21
19,Silver Treasure Xmas,3,slots,2026-07-21
20,Baccarat Pro Classic,13,table,2020-03-13
21,Mystic Pirates,1,slots,2024-05-07
22,Golden Fruits Megaways,5,slots,2021-04-08
23,Live Roulette Gold,7,live,2023-06-16
24,Royal Vikings,14,slots,2020-06-10
25,Hidden Tigers Deluxe,13,slots,2021-07-25
26,Hidden Tigers Hold & Win,9,slots,2024-01-19
27,Jade Rockets Deluxe,1,slots,2020-09-01
28,Auto Roulette One,24,live,2024-01-16
29,Jade Pharaoh 2,3,slots,2022-04-07
30,Savage Pearls Megaways,9,slots,2026-02-17
31,Royal Pearls Xmas,9,slots,2020-11-23
32,Mystic Safari 2,1,slots,2026-06-08
33,Hidden Pharaoh,6,slots,2020-06-09
34,Savage Wolves Megaways,1,slots,2021-03-13
35,Thunder Cherries,1,slots,2020-03-01
36,Savage Wolves Deluxe,12,slots,2026-06-09
37,Savage Safari,5,slots,2024-12-03
38,Electric Tigers,17,slots,2024-04-17
39,Thunder Dragon,1,slots,2026-07-23
40,Thunder Buffalo Xmas,1,slots,2023-07-14
41,Emerald Sevens 2,8,slots,2024-12-24
42,Neon Vikings,2,slots,2022-05-10
43,Electric Crystals 2,1,slots,2023-06-20
44,Neon Fortune,6,slots,2025-03-04
45,Frozen Crystals 2,18,slots,2024-12-14
46,Crimson Sevens,11,slots,2023-10-06
47,Golden Fortune 2,11,slots,2022-05-21
48,Electric Pearls Xmas,4,slots,2024-06-06
49,Crimson Tigers,2,slots,2019-12-23
50,Cosmic Gems Deluxe,4,slots,2024-03-04
51,Neon Pearls,12,slots,2022-02-15
52,Classic Blackjack,1,table,2023-12-20
53,Lucky Lotus 2,6,slots,2021-09-01
54,Emerald Gems,13,slots,2019-12-04
55,Savage Pharaoh,20,slots,2023-10-20
56,Electric Lotus Deluxe,4,slots,2019-05-07
57,Lucky Riches,13,slots,2022-09-22
58,Savage Crystals 2,1,slots,2026-07-23
59,Midnight Fortune Deluxe,1,slots,2019-02-18
60,Baccarat Pro Deluxe,2,table,2026-01-07
61,Live Sic Bo One,24,live,2024-01-11
62,Silver Safari Deluxe,3,slots,2019-07-25
63,Blazing Crystals Hold & Win,4,slots,2024-03-21
64,Silver Buffalo Hold & Win,1,slots,2020-07-22
65,Ancient Fruits,9,slots,2025-03-07
66,Silver Temple 2,10,slots,2024-11-21
67,Jade Cherries Hold & Win,9,slots,2020-01-23
68,Royal Cherries Deluxe,12,slots,2021-04-19
69,Ancient Fruits Hold & Win,11,slots,2023-01-29
70,Royal Gems Megaways,14,slots,2022-01-22
71,Midnight Crystals 2,1,slots,2022-06-23
72,Sunny Fruits,17,slots,2023-05-12
73,Savage Riches Deluxe,19,slots,2023-01-05
74,Golden Rockets Hold & Win,2,slots,2021-06-23
75,Neon Sevens,2,slots,2023-06-30
76,Savage Treasure Megaways,2,slots,2021-10-23
77,Royal Tigers Xmas,13,slots,2025-02-08
78,Midnight Riches,3,slots,2024-03-01
79,Mystic Riches Xmas,8,slots,2022-05-17
80,Golden Fruits,1,slots,2025-08-02
81,Crimson Cherries Deluxe,2,slots,2022-12-14
82,Jade Wolves Xmas,3,slots,2020-11-18
83,Sunny Lotus,19,slots,2020-03-26
84,Wild Wolves Megaways,16,slots,2021-09-12
85,Savage Pharaoh Deluxe,14,slots,2025-02-13
